1;Cetak Tiket Masuk Obyek Wisata Air Terjun Parang Ijo;49;9500
2;Cetak Tiket Masuk Obyek Wisata Jumok;49;8500
3;Cetak TPR bus 1500;41;75
4;Cetak TPR bus 500;41;75
5;Cetak TPR non bus 300;41;75
6;Cetak TPR non bus 400;41;75
7;Cetak Karcis parkir 1500;41;75
8;Cetak Karcis parkir 500;41;75
9;Cetak Karcis Pasar/Retribusi Lainnya Tidak Berwarna;41;75
10;Cetak Karcis PKL;49;7000
11;Cetak Karcis retribusi ijin dispensasi kelas jalan;41;125
12;Cetak Karcis Retribusi Lainnya Berwarna;41;125
13;Cetak Retribusi Air Hangat Sapto Tirto Pablengan;49;8500
14;Cetak Retribusi Masuk Kawasan Giribangun Matesih  untuk Minibus           @ Rp. 10.000,-;49;8500
15;Cetak Retribusi Masuk Kawasan Giribangun Matesih  untuk Sepeda Motor @ Rp.1000,-;49;8500
16;Cetak Retribusi Masuk Kawasan Giribangun Matesih untuk Bus               @ Rp. 20.000,-;49;8500
17;Cetak Retribusi Masuk Kawasan Giribangun Matesih untuk Station Wagon/Sedan/Jeep @ Rp. 5000,-;49;8500
18;Cetak Retribusi Masuk Kawasan Rekreasi Candi Sukuh untuk Wisatawan Nusantara @ Rp. 3000,-;49;8500
19;Cetak Retribusi Masuk Kawasan Tawangmangu Rp. 1.000;49;8500
20;Cetak Retribusi Masuk Kawasan Tawangmangu Rp. 5.000;49;8500
21;Cetak Retribusi Masuk Obyek Wisata Candi Cetho untuk  Wisatawan Manca Negara @ Rp. 10.000,-;49;8500
22;Cetak Retribusi Masuk Obyek Wisata Candi Cetho untuk Wisatawan Nusantara @Rp. 3.000;49;8500
23;Cetak Retribusi Masuk Obyek Wisata Candi Sukuh untuk Wisatawan Manca Negara @ Rp 10.000,-;49;8500
24;Cetak Retribusi Masuk Tempat Rekreasi Pemandian;49;8500
25;Cetak Retribusi Masuk Tempat Rekreasi Tawangmangu;49;8500
26;Cetak Retribusi Penggunaan Fasilitas Rekreasi Pablengan;49;8500
27;Cetak RKK bus 200;41;50
28;Cetak RKK kios 200;41;50
29;Cetak RKK non bus 100;41;50
