1; Absorbtion of Fine Aggregate ;42;1185800
2; Aggregate Impact Test ;42;UP
3; Air Content of Fresh Mixed ;42;UP
4; Air Permeability of Portland Cement by Fineness Device ;42;2207481
5; Automatic Penetration Test Set ;42;UP
6; Beaker Glass. Glass made, single numbering ;10;0
7; Beaker Glass. Glass made, single numbering 1000 ml capacity ;10;124353
8; Beaker Glass. Glass made, single numbering 600 ml capacity ;10;66666
9; Beaker Glass. Glass made, single numbering 250 ml capacity ;10;39700
10; 100 ml capacity ;10;38499
11; Benkleman Beam AASHTO T 256-77 ;42;UP
12; Brass Round Sieve ( all size ) ;10;653700
13; Bulk Density Test set BS-812 ;42;UP
14; Calibration Anvil ;42;UP
15; Centrifuge Extractor Test Set ;42;UP
16; Combination Permeameter ;42;3559989
17; Compacting Factor Apparatus ;42;UP
18; Compaction Test Set ;42;4944477
19; Compresion Tension Machine ;42;UP
20; Compressive Strength of Hydraulic Cement Mortar ;42;UP
21; Concrete Cylinder Mold 10 cm dia x 20 cm height ;10;355100
22; Concrete Cylinder Mold 10 cm dia x 30 cm height ;10;410200
23; Concrete Cube Mold 10 cm x 10 cm x 10 cm  ;10;397400
24; Concrete Cube Mold 15 cm x 15 cm x 15 cm  ;10;448700
25; Concrete Beam Mold 15 cm x 15 cm x 60 cm  ;10;1249900
26; Concrete Beam Mold 10 cm x 10 cm x 50 cm  ;10;1557500
27; Concrete Manual Compression Machine ;42;
28; Concrete Manual Compression Machine 50 tons capacity, 0,5 ton readability ;42;UP
29; Concrete Manual Compression Machine 100 tons capacity, 1,0 ton readability ;42;UP
30; Concrete Manual Compression Machine 150 tons capacity, 2,0 ton readability ;42;UP
31; Concrete Manual Compression Machine 200 tons capacity, 2,5 ton readability ;42;UP
32; Concrete Test Hammer ASTM C-805 ;42;UP
33; Consolidation Test Set ;42;UP
34; Constant Head Permeameter ;42;UP
35; Core Drilling Test Set ;42;UP
36; Density Bottle 100 ml capacity ;10;365300
37; Density Bottle 50 ml capacity ;10;270477
38; Dial Indicator 10 in  x 0.01 in ;10;814000
39; Dial Indicator 20 in  x 0.01 in ;10;2990700
40; Dial Indicator 30 in  x 0.01 in ;10;4352200
41; Dial Indicator 50 in  x 0.01 in ;10;UP
42; Dial Thermometers ;18;320500
43; Direct Shear Test Set ;42;UP
44; Distilation of Cutback Asphalts ;42;UP
45; Ductility of Bituminous Materials Test ;42;UP
46; Dutch Cone Penetrometer 10 Tons Capacity ;42;UP
47; Dutch Cone Penetrometer 2,5 Tons Capacity ;42;UP
48; Dutch Cone Penetrometer 5 Tons Capacity ;42;UP
49; Dynamic Cone Penetrometer ;42;2670300
50; Electric Compresion Machine ;42;UP
51; Electric Compression/Compression Machine Electric 50 tons capacity, 0,5 ton readability ;42;UP
52; Electric Compression/Compression Machine Electric 100 tons capacity, 1,0 ton readability ;42;UP
53; Electric Compression/Compression Machine Electric 150 tons capacity, 2,0 ton readability ;42;UP
54; Electric Compression/Compression Machine Electric 200 tons capacity, 2,5 ton readability ;42;UP
55; Electric Liquid Limit Device Test Set ;42;4486794
56; Electric Marshall Compactor weight 10 lbs & dia 4inci ;42;UP
57; Electric Marshall Compactor weight 20 lbs & dia 6inci ;42;UP
58; Electric Motorized CBR Loading Machine ;42;UP
59; Erlenmeyer ;10;0
60; Erlenmeyer 500 ml capacity ;10;69200
61; Erlenmeyer 250 ml capacity ;10;46100
62; Erlenmeyer 100 ml capacity ;10;38499
63; Field CBR Test Set / In Situ CBR Test Set ;42;UP
64; Flakiness Sieves BS-812 ( all size ) ;10;711400
65; Flash and Fire Point by Cleveland Open Cup ;42;3366387
66; Graduated Cylinder Glass made, single numbering ;10;0
67; Graduated Cylinder Glass made, single numbering 1000 ml capacity ;10;333300
68; Graduated Cylinder Glass made, single numbering 500 ml capacity ;10;252500
69; Graduated Cylinder Glass made, single numbering 250 ml capacity ;10;185853
70; Graduated Cylinder Glass made, single numbering 100 ml capacity ;10;124353
71; Graduated Cylinder Glass made, single numbering 50 ml capacity ;10;94800
72; Hand bor ;42;UP
73; Hydraulic Concrete Beam Testing ;42;UP
74; Hydrometer Analysis Test Set ;42;UP
75; Laboratory Concrete Mixer ;42;UP
76; Laboratory Penetration Test Set ;42;UP
77; Length Gauge BS-812 ;42;651285
78; Liquid Limit Device With Counter ;42;3653592
79; Liquid Limit Test Set ;42;3493300
80; Los Angeles Abrassion Machine ;42;UP
81; Loss on Heating/Thin Film Test ;42;UP
82; Manometer 100 kg capacity ;10;1483257
83; Manometer 250 kg capacity ;10;1483257
84; Manometer 300 kg capacity ;10;1483257
85; Manometer 500 kg capacity ;10;2435600
86; Manometer 600 kg capacity ;10;2435600
87; Manometer 1000 kg capacity ;10;3276597
88; Manually Laboratorium CBR Test Set ;42;UP
89; Marshall Test Set ;42;UP
90; Mechanical Balances Cent-O-Gram Balance ;18;3559989
91; Mechanical Balances Dial-O-Gram Balance ;18;3916300
92; Mechanical Balances Heavy Duty Solution Balance ;18;UP
93; Mechanical Balances Triple Beam Balance ;18;3916300
94; Mechanical Beam Testing Mechine ;42;UP
95; Modulus of Elasticity in Concrete Test ;42;UP
96; Moisture Content Test Set ;42;UP
97; Mot Straight Edge ;42;1938357
98; Motorized Direct Shear Test ;42;UP
99; Motorized Flow Table ;42;UP
100; Organic Impurities Test Set ;42;UP
101; Oven  ;42;UP
102; Plastic Limit Test Set ;42;711400
103; Plate Bearing Test Set  ;42;UP
104; Proving Ring ;42;0
105; Proving Ring 100 kg capacity ;42;3671550
106; Proving Ring 200 kg capacity ;42;3808695
107; Proving Ring 500 kg capacity ;42;4352200
